questionId,keywordKeyword
0,disease
1,restaurant
0,disease
1,disease
2,economy
0,garden
1,dog
0,flowers
1,philosophy
2,decoration
3,movies
4,dog
0,sea
1,trip
2,disease
3,transportation
4,DIY
0,economy
1,instructions
2,transportation
0,nature
0,abroad
1,sale
2,vacation
3,trip
4,fire
5,food
0,weather
1,economy
2,wildlife
3,abroad
0,disease
1,house
2,house
3,sea
0,netflix
1,animal
2,sale
3,vacation
4,bug
5,programming
0,cat
1,netflix
0,food
1,cat
2,shows
3,children
4,netflix
5,transportation
0,house
1,house
0,house
1,vacation
2,flowers
0,philosophy
1,health
2,fire
3,universe
4,philosophy
5,pet
0,trip
1,trip
2,dog
0,Covid-19
1,dog
2,dog
3,parenting
4,love
5,health
0,Covid-19
1,shows
2,garden
3,movies
0,animal
1,health
2,decoration
0,vacation
1,instructions
0,fire
1,house
2,dog
3,programming
4,weather
0,trip
0,children
1,cat
0,cat
1,weather
2,trip
0,cat
1,dog
2,fire
3,transportation
4,weather
0,vacation
0,health
1,bug
0,netflix
0,restaurant
1,philosophy
2,parenting
3,weather
0,work
1,pet
2,Covid-19
3,pet
0,universe
1,decoration
0,recipe
1,netflix
0,abroad
1,animal
2,abroad
0,love
1,netflix
0,netflix
1,weather
0,flowers
1,programming
2,disease
0,work
1,DIY
2,flowers
3,sale
4,wildlife
0,food
1,weather
2,abroad
3,animal
4,dog
0,netflix
1,wildlife
2,Covid-19
3,dog
4,house
0,cat
1,DIY
0,shows
1,weather
2,shows
3,parenting
4,weather
5,dog
0,animal
1,fire
2,DIY
3,Covid-19
4,decoration
0,house
1,transportation
2,recipe
0,disease
1,food
2,love
0,Covid-19
1,fire
2,weather
3,trip
4,weather
0,sale
1,health
2,programming
0,garden
1,dog
2,bug
3,sale
4,vacation
0,wildlife
0,food
1,sale
2,bug
3,recipe
4,Covid-19
0,vacation
1,disease
2,restaurant
3,economy
4,shows
0,transportation
1,disease
0,dog
1,DIY
0,transportation
1,netflix
2,DIY
3,vacation
4,Covid-19
0,philosophy
1,philosophy
2,vacation
3,love
4,sea
0,netflix
1,bug
2,parenting
3,sports
4,dog
5,netflix
0,recipe
1,DIY
2,philosophy
3,DIY
4,dog
5,children
0,dog
1,restaurant
0,programming
1,love
2,movies
3,health
4,economy
0,DIY
1,parenting
2,abroad
0,dog
0,animal
0,bug
1,flowers
2,instructions
3,animal
0,cat
0,house
1,DIY
2,health
0,economy
0,food
1,fire
2,sale
0,sports
1,nature
2,wildlife
3,disease
4,pet
0,netflix
1,wildlife
2,economy
0,children
0,cat
1,fire
2,dog
3,economy
4,food
5,parenting
0,animal
1,children
2,wildlife
3,economy
4,sports
5,nature
0,food
1,food
2,cat
3,garden
4,sports
0,disease
1,wildlife
2,love
0,flowers
1,sea
2,restaurant
3,economy
4,restaurant
0,nature
1,abroad
2,restaurant
3,wildlife
0,work
1,vacation
0,transportation
1,economy
2,vacation
3,children
4,instructions
5,wildlife
0,universe
1,programming
2,recipe
0,weather
1,children
0,weather
0,nature
1,transportation
2,cat
3,vacation
4,animal
5,netflix
0,DIY
1,work
2,netflix
3,parenting
0,work
0,trip
0,economy
1,children
0,wildlife
1,restaurant
2,economy
3,fire
4,fire
5,restaurant
0,bug
1,sports
2,vacation
3,bug
4,decoration
0,garden
1,universe
2,instructions
3,wildlife
4,parenting
0,universe
1,shows
2,sale
3,house
0,wildlife
1,children
2,DIY
3,DIY
4,nature
5,sea
0,weather
1,Covid-19
2,philosophy
3,trip
0,sale
1,wildlife
0,sale
1,universe
2,sale
0,house
0,dog
1,decoration
2,recipe
3,food
4,DIY
5,netflix
0,love
1,disease
2,love
0,parenting
1,house
2,vacation
3,decoration
0,shows
1,cat
0,work
1,vacation
2,programming
3,Covid-19
