questionId,keywordKeyword
0,restaurant
1,Covid-19
2,bug
3,cat
0,trip
1,parenting
2,work
0,vacation
1,Covid-19
2,transportation
3,disease
4,economy
5,wildlife
0,vacation
1,work
2,DIY
3,vacation
0,sale
1,weather
2,decoration
3,sale
0,universe
1,nature
2,restaurant
3,transportation
4,cat
0,children
1,cat
2,food
3,nature
4,cat
5,sea
0,animal
1,food
2,universe
3,Covid-19
4,instructions
5,universe
0,cat
1,weather
2,recipe
3,food
4,love
5,love
0,garden
1,sports
2,decoration
0,disease
1,cat
2,animal
3,bug
0,sports
0,love
1,philosophy
2,abroad
3,dog
0,universe
1,netflix
0,dog
1,fire
2,sports
3,nature
4,sea
5,fire
0,garden
1,Covid-19
2,movies
3,wildlife
4,Covid-19
5,dog
0,universe
1,animal
2,sports
3,dog
4,decoration
5,dog
0,universe
1,dog
2,movies
3,Covid-19
4,children
0,programming
1,transportation
0,pet
0,health
1,universe
2,economy
3,movies
4,restaurant
5,flowers
0,sea
1,economy
2,fire
3,weather
4,programming
5,dog
0,restaurant
1,sea
2,dog
3,sports
0,nature
1,instructions
2,parenting
3,economy
4,weather
0,netflix
1,DIY
2,restaurant
0,health
0,wildlife
1,weather
2,movies
0,pet
0,animal
1,shows
0,sale
0,instructions
1,work
2,programming
3,movies
4,house
0,dog
0,movies
1,disease
2,pet
3,cat
4,sale
5,universe
0,pet
1,love
0,recipe
1,cat
2,weather
3,decoration
4,recipe
5,sale
0,cat
1,DIY
2,dog
3,sale
0,sports
1,love
2,netflix
3,nature
4,instructions
0,programming
1,shows
2,nature
3,dog
4,garden
5,netflix
0,universe
0,house
1,universe
2,cat
3,sports
4,bug
5,programming
0,wildlife
1,health
2,animal
3,instructions
4,recipe
5,children
0,Covid-19
1,food
2,philosophy
0,bug
1,restaurant
2,food
3,shows
4,dog
0,health
1,Covid-19
2,programming
3,house
4,DIY
0,transportation
1,garden
2,cat
0,garden
1,wildlife
2,dog
3,food
4,instructions
0,weather
1,movies
2,universe
0,universe
1,nature
2,cat
3,sale
4,shows
5,recipe
0,transportation
1,recipe
2,sports
3,recipe
4,animal
0,wildlife
1,universe
0,cat
1,wildlife
2,fire
3,work
0,house
1,trip
2,cat
0,recipe
1,health
2,vacation
0,instructions
1,animal
2,trip
0,programming
1,economy
2,DIY
3,health
4,programming
5,bug
0,work
1,food
2,house
3,dog
0,house
0,cat
1,flowers
0,bug
1,health
2,universe
3,vacation
0,parenting
1,shows
2,decoration
3,Covid-19
0,wildlife
1,movies
2,cat
3,animal
0,sea
1,universe
2,flowers
3,DIY
0,parenting
1,cat
2,transportation
3,health
4,weather
0,garden
1,restaurant
2,nature
3,decoration
4,fire
5,vacation
0,instructions
1,food
0,parenting
1,DIY
2,work
0,animal
1,work
2,food
0,DIY
1,weather
2,fire
3,instructions
0,parenting
1,disease
2,parenting
3,animal
4,philosophy
5,economy
0,philosophy
1,transportation
2,sale
3,parenting
4,health
0,abroad
1,weather
2,parenting
3,cat
4,bug
5,flowers
0,philosophy
1,restaurant
2,decoration
0,weather
1,abroad
0,trip
1,decoration
2,dog
3,nature
4,netflix
0,weather
1,parenting
2,flowers
3,fire
0,vacation
1,parenting
2,nature
3,transportation
0,children
1,trip
2,philosophy
0,sea
1,disease
2,DIY
3,sale
4,movies
5,fire
0,garden
1,fire
2,programming
0,sports
1,transportation
2,economy
0,pet
1,Covid-19
0,nature
0,movies
1,cat
0,trip
1,DIY
2,dog
3,work
0,garden
1,health
2,trip
0,netflix
1,disease
0,wildlife
1,fire
2,love
3,house
4,parenting
0,programming
1,house
2,pet
3,parenting
0,nature
1,abroad
2,trip
0,disease
1,disease
2,nature
3,love
4,programming
5,fire
0,dog
1,netflix
2,Covid-19
0,restaurant
1,wildlife
2,health
3,flowers
4,DIY
5,sale
0,love
1,pet
2,programming
3,transportation
4,fire
0,trip
1,sports
2,children
3,transportation
4,instructions
5,dog
0,recipe
1,universe
2,sale
3,pet
4,nature
0,dog
1,weather
2,netflix
3,DIY
4,DIY
0,instructions
1,Covid-19
2,universe
3,cat
0,bug
1,abroad
2,flowers
3,sale
0,movies
0,recipe
1,sports
2,decoration
3,universe
0,DIY
1,parenting
2,instructions
3,house
0,love
1,restaurant
0,restaurant
0,cat
0,garden
1,netflix
2,dog
0,universe
1,DIY
2,dog
0,sale
1,disease
2,netflix
3,shows
4,sea
5,programming
0,sale
0,food
0,disease
1,abroad
0,nature
1,shows
2,recipe
0,recipe
0,garden
0,netflix
1,animal
2,fire
3,pet
4,fire
5,house
0,netflix
1,netflix
2,sea
3,instructions
0,economy
1,work
2,Covid-19
3,dog
4,love
0,restaurant
1,philosophy
2,garden
3,dog
4,nature
0,decoration
1,cat
2,DIY
3,philosophy
4,cat
5,wildlife
0,sea
1,trip
2,universe
3,netflix
0,animal
1,abroad
2,sports
3,garden
4,decoration
0,wildlife
1,bug
2,Covid-19
3,animal
4,decoration
5,sale
0,abroad
1,work
2,economy
3,recipe
0,transportation
1,philosophy
2,dog
0,bug
1,love
0,cat
1,dog
2,instructions
3,dog
4,bug
0,transportation
0,cat
1,restaurant
2,nature
0,nature
0,abroad
1,programming
0,children
1,animal
0,sea
1,food
2,dog
3,transportation
4,instructions
0,children
0,trip
1,house
0,health
0,cat
1,sale
2,netflix
0,trip
1,decoration
0,movies
1,trip
2,pet
3,love
0,love
1,universe
2,netflix
3,disease
4,cat
5,pet
0,instructions
1,shows
2,philosophy
3,netflix
0,sports
0,nature
1,sea
0,economy
1,garden
2,cat
0,health
1,cat
2,garden
0,love
1,house
2,sea
3,economy
0,bug
1,instructions
2,pet
3,children
4,philosophy
0,instructions
0,movies
1,transportation
0,recipe
1,house
2,fire
3,transportation
4,house
0,sports
1,instructions
2,shows
3,recipe
0,cat
0,economy
1,decoration
2,netflix
3,wildlife
4,shows
0,programming
1,philosophy
2,parenting
3,house
4,sale
5,sports
0,parenting
1,programming
2,house
3,children
0,economy
0,sports
1,bug
2,transportation
0,economy
1,fire
2,children
0,pet
1,bug
0,recipe
1,animal
2,economy
3,bug
0,cat
1,garden
2,sports
3,instructions
0,sports
0,trip
1,abroad
2,recipe
3,children
4,children
0,pet
1,instructions
2,sea
3,abroad
4,cat
0,programming
0,pet
0,house
1,universe
0,DIY
1,disease
2,disease
3,universe
4,flowers
5,bug
0,transportation
1,Covid-19
2,disease
0,DIY
1,house
2,bug
3,transportation
4,sea
0,nature
1,vacation
2,netflix
3,love
4,sea
0,disease
1,health
0,garden
1,house
2,cat
0,house
0,cat
0,universe
1,instructions
2,sea
3,decoration
4,philosophy
0,fire
1,health
2,garden
3,health
0,vacation
1,restaurant
2,house
3,abroad
4,food
5,animal
0,fire
1,garden
2,programming
3,children
4,animal
5,sale
0,abroad
1,instructions
2,sports
3,DIY
0,fire
1,trip
2,trip
0,fire
1,instructions
2,economy
3,nature
4,vacation
5,universe
0,disease
1,decoration
2,weather
3,trip
4,sports
0,fire
1,children
2,restaurant
3,nature
4,love
5,cat
0,philosophy
1,weather
2,programming
3,weather
4,restaurant
0,health
1,house
2,transportation
3,instructions
4,nature
5,restaurant
0,programming
1,fire
2,abroad
3,sports
4,sports
0,food
1,trip
2,health
3,sea
0,pet
0,economy
1,sports
0,flowers
0,programming
1,bug
0,pet
1,flowers
2,garden
3,cat
4,sale
0,universe
1,wildlife
2,dog
0,nature
1,house
2,dog
0,health
1,movies
0,food
1,fire
2,philosophy
0,weather
1,transportation
2,restaurant
3,decoration
0,decoration
1,transportation
2,restaurant
3,cat
4,sale
5,trip
0,disease
1,philosophy
0,trip
1,parenting
2,food
3,trip
0,house
1,instructions
2,sea
3,vacation
0,children
1,flowers
2,weather
3,bug
0,cat
1,food
2,Covid-19
3,fire
4,bug
5,cat
0,bug
1,fire
2,garden
0,restaurant
0,weather
1,sale
2,universe
3,weather
4,transportation
0,Covid-19
1,fire
2,sale
3,animal
4,children
5,philosophy
0,sale
1,dog
0,weather
1,universe
2,garden
3,nature
0,cat
0,instructions
1,fire
2,dog
3,Covid-19
0,philosophy
1,decoration
2,work
3,dog
4,sports
0,work
1,animal
2,flowers
3,flowers
4,house
5,transportation
0,work
1,universe
2,universe
3,pet
4,vacation
5,sports
0,wildlife
1,recipe
2,parenting
0,flowers
1,movies
2,dog
3,work
0,cat
1,universe
2,work
3,nature
0,decoration
1,programming
2,house
3,recipe
0,wildlife
0,universe
1,children
2,house
3,restaurant
4,cat
0,universe
0,garden
1,weather
0,nature
1,DIY
2,love
3,instructions
0,health
1,fire
2,garden
0,dog
1,movies
2,decoration
3,fire
0,disease
0,pet
1,movies
2,programming
3,dog
4,health
0,economy
1,flowers
2,food
3,pet
0,food
0,trip
0,cat
0,dog
1,pet
2,children
3,sports
4,instructions
0,animal
1,animal
2,parenting
0,weather
1,DIY
0,animal
1,wildlife
2,dog
3,Covid-19
4,economy
0,disease
1,universe
2,disease
3,decoration
0,love
1,dog
2,cat
3,netflix
4,animal
0,recipe
1,fire
2,Covid-19
0,movies
1,decoration
2,netflix
0,garden
1,house
2,weather
3,vacation
0,disease
1,nature
2,decoration
0,fire
1,house
2,bug
3,fire
4,sale
5,wildlife
0,nature
1,sports
2,abroad
3,transportation
4,sea
5,flowers
0,work
1,sports
0,trip
1,bug
2,restaurant
0,dog
1,flowers
2,sea
0,garden
1,instructions
0,children
1,transportation
2,Covid-19
3,sports
0,dog
1,recipe
0,house
1,trip
0,pet
1,food
0,garden
0,netflix
1,dog
2,work
3,food
0,parenting
1,movies
2,shows
3,shows
4,Covid-19
5,nature
0,cat
1,dog
2,transportation
0,DIY
1,sale
2,garden
3,Covid-19
