keywordKeyword,questionId
trip,1
pet,1
netflix,1
movies,2
house,2
work,2
education,2
dog,2
wildlife,2
disease,3
programming,4
sea,4
garden,4
dog,6
vacation,6
parenting,6
disease,6
garden,6
love,6
disease,7
parenting,7
fire,7
wildlife,7
shows,11
love,11
philosophy,11
food,12
food,13
DIY,14
movies,14
movies,15
programming,15
flowers,15
Covid-19,15
netflix,15
disease,16
fire,16
wildlife,16
vacation,16
cat,16
animal,17
abroad,17
love,19
fire,19
DIY,19
abroad,19
Covid-19,20
nature,20
food,20
netflix,20
trip,20
transportation,21
vacation,21
sports,22
Covid-19,22
dog,22
love,22
sea,22
recipe,22
flowers,24
decoration,24
instructions,24
universe,24
economy,24
restaurant,25
nature,26
sale,26
netflix,26
house,26
philosophy,26
sports,26
restaurant,27
netflix,27
movies,27
school,27
philosophy,27
DIY,28
university,28
parenting,28
economy,28
house,29
DIY,29
animal,29
parenting,29
flowers,29
cat,29
economy,30
house,30
school,30
disease,30
work,30
university,31
decoration,31
wildlife,31
instructions,31
recipe,31
Covid-19,31
animal,32
economy,32
university,32
DIY,32
animal,33
dog,33
transportation,33
Covid-19,33
DIY,33
philosophy,34
abroad,36
garden,36
university,36
flowers,36
sports,36
disease,37
abroad,37
work,37
work,39
universe,39
sports,39
restaurant,39
disease,39
health,39
cat,40
instructions,40
animal,40
netflix,41
movies,41
pet,41
parenting,41
weather,41
decoration,41
children,42
philosophy,42
love,43
weather,43
restaurant,44
shows,44
disease,44
nature,44
movies,44
philosophy,44
recipe,46
garden,46
pet,46
cat,46
health,47
netflix,47
house,48
sea,48
weather,48
children,48
philosophy,48
health,49
abroad,49
dog,49
weather,49
economy,49
disease,49
philosophy,50
house,50
university,50
sale,50
Covid-19,51
flowers,51
universe,51
university,52
dog,52
economy,52
health,53
abroad,54
decoration,54
pet,55
universe,55
transportation,56
sale,56
restaurant,56
Covid-19,56
work,56
sports,58
love,58
children,58
work,59
sale,59
transportation,59
education,59
philosophy,59
garden,60
bug,60
decoration,60
pet,61
recipe,61
weather,62
transportation,62
sea,62
parenting,62
animal,62
philosophy,62
sale,64
university,65
vacation,65
sea,65
love,65
philosophy,66
movies,66
vacation,66
netflix,66
decoration,67
Covid-19,67
wildlife,67
transportation,67
programming,67
vacation,68
Covid-19,68
food,68
parenting,68
dog,69
DIY,69
philosophy,69
food,69
house,70
cat,70
Covid-19,70
parenting,72
sea,72
recipe,73
wildlife,73
parenting,73
education,73
movies,73
love,74
children,74
movies,74
wildlife,74
disease,74
philosophy,75
school,75
children,75
health,75
weather,75
parenting,77
transportation,77
love,77
instructions,77
bug,77
nature,78
animal,80
disease,80
programming,81
sports,81
movies,81
trip,81
parenting,81
sea,82
parenting,82
instructions,82
DIY,82
university,83
netflix,83
restaurant,83
sports,83
Covid-19,84
decoration,85
children,85
programming,85
school,85
instructions,85
sports,86
sea,86
recipe,86
netflix,86
parenting,86
garden,87
cat,87
restaurant,87
work,88
wildlife,88
philosophy,88
sea,89
wildlife,89
school,89
bug,89
house,89
education,89
education,90
fire,90
school,90
cat,90
work,90
pet,91
weather,91
shows,91
restaurant,91
disease,91
flowers,92
decoration,92
weather,92
garden,92
weather,93
school,93
recipe,93
sea,93
nature,93
philosophy,94
garden,94
nature,94
economy,95
flowers,95
universe,96
philosophy,96
house,98
children,98
university,101
sea,101
vacation,102
economy,102
love,102
shows,102
sale,102
weather,103
fire,103
abroad,103
children,104
house,104
cat,104
flowers,104
decoration,104
garden,105
programming,105
health,105
house,105
shows,106
DIY,107
transportation,108
netflix,108
trip,108
flowers,109
restaurant,109
philosophy,109
pet,109
