keywordKeyword,questionId
sports,1
dog,1
love,1
animal,2
wildlife,2
love,3
shows,3
food,3
restaurant,3
love,4
universe,4
vacation,4
restaurant,4
decoration,4
food,5
philosophy,5
DIY,5
decoration,6
recipe,6
DIY,7
animal,7
instructions,8
movies,8
sea,8
love,8
shows,8
school,9
fire,9
wildlife,10
economy,11
shows,11
school,11
nature,11
food,11
restaurant,11
instructions,12
universe,12
movies,12
food,12
transportation,12
garden,13
decoration,13
cat,14
transportation,14
disease,14
pet,14
bug,14
bug,16
flowers,16
fire,16
vacation,16
pet,16
children,17
Covid-19,17
dog,17
programming,17
economy,17
weather,18
decoration,18
transportation,18
animal,18
recipe,20
education,20
vacation,21
bug,21
university,21
philosophy,21
abroad,21
dog,22
flowers,22
food,22
cat,22
children,23
bug,25
sports,25
cat,25
health,25
food,25
vacation,26
wildlife,27
health,27
decoration,27
economy,28
flowers,28
Covid-19,28
health,28
weather,28
economy,29
work,29
pet,29
shows,29
netflix,29
Covid-19,31
abroad,31
vacation,31
shows,31
decoration,31
garden,31
love,32
flowers,32
nature,32
house,32
decoration,32
universe,33
nature,33
instructions,33
animal,35
abroad,35
disease,35
children,35
Covid-19,35
nature,36
weather,36
education,36
restaurant,36
shows,36
Covid-19,37
sports,37
sports,38
flowers,38
decoration,38
Covid-19,38
pet,38
house,39
sea,39
trip,39
DIY,39
love,39
programming,39
education,40
sale,40
restaurant,40
economy,40
dog,40
movies,40
weather,41
philosophy,41
cat,41
love,41
DIY,42
love,42
dog,42
vacation,43
garden,43
animal,43
school,43
transportation,44
dog,44
movies,44
health,44
abroad,44
animal,45
sale,45
shows,45
bug,45
vacation,46
netflix,46
Covid-19,46
nature,46
children,47
decoration,47
nature,47
school,48
house,48
shows,48
dog,48
education,48
DIY,48
universe,49
fire,49
pet,49
health,50
transportation,50
sports,50
DIY,50
vacation,50
children,51
abroad,51
education,51
vacation,52
transportation,52
food,52
movies,52
decoration,52
transportation,53
work,54
disease,54
dog,55
love,56
disease,57
fire,57
house,58
love,58
bug,58
sea,58
instructions,61
vacation,61
transportation,61
Covid-19,61
disease,61
fire,61
garden,63
food,63
transportation,64
philosophy,64
movies,64
disease,64
instructions,64
fire,64
sports,65
university,65
health,65
sea,65
instructions,66
weather,67
abroad,67
love,67
decoration,67
wildlife,67
economy,69
flowers,69
restaurant,69
dog,69
cat,69
abroad,69
Covid-19,73
garden,73
sea,73
vacation,75
movies,75
restaurant,75
garden,75
garden,76
trip,76
vacation,76
education,76
health,76
economy,79
school,79
food,79
vacation,79
restaurant,79
sports,79
netflix,81
children,81
nature,81
education,81
dog,82
transportation,82
netflix,83
flowers,83
instructions,83
health,84
philosophy,84
movies,84
weather,85
transportation,85
sports,85
dog,85
netflix,85
wildlife,86
disease,86
programming,87
animal,87
dog,87
food,87
universe,88
children,88
Covid-19,89
house,89
parenting,89
recipe,89
Covid-19,90
health,90
disease,90
flowers,92
trip,92
disease,92
children,92
school,93
wildlife,93
education,93
recipe,93
pet,94
children,94
parenting,94
fire,95
health,95
trip,95
school,95
recipe,95
education,96
wildlife,96
philosophy,96
abroad,97
trip,97
house,97
university,97
education,97
transportation,97
nature,98
decoration,99
sports,99
work,99
fire,100
DIY,100
economy,100
movies,100
garden,101
decoration,101
wildlife,103
love,103
universe,103
school,105
fire,105
love,105
weather,105
nature,105
movies,105
transportation,106
DIY,106
recipe,106
instructions,106
vacation,106
transportation,107
sea,107
cat,107
wildlife,107
house,108
philosophy,108
animal,108
fire,108
love,108
flowers,108
vacation,109
school,109
work,109
fire,110
abroad,110
instructions,110
DIY,110
health,110
cat,111
trip,111
economy,111
love,111
weather,111
animal,112
DIY,112
transportation,112
weather,112
school,113
disease,113
Covid-19,113
netflix,113
movies,113
health,114
recipe,114
garden,114
instructions,114
transportation,115
health,116
decoration,116
netflix,116
weather,116
sports,117
programming,117
instructions,117
pet,117
sea,117
sea,118
children,118
instructions,118
flowers,118
decoration,118
universe,119
philosophy,119
abroad,119
netflix,119
weather,119
movies,120
restaurant,120
garden,120
abroad,120
parenting,120
programming,120
animal,123
food,124
philosophy,125
house,125
universe,125
sea,125
flowers,125
love,126
netflix,126
restaurant,127
economy,128
education,128
bug,129
cat,129
food,129
work,129
love,129
disease,130
work,130
sea,130
trip,131
animal,131
nature,132
bug,132
decoration,132
children,132
programming,133
restaurant,133
pet,133
dog,133
sea,133
recipe,133
cat,134
weather,134
movies,134
garden,135
cat,135
instructions,135
disease,135
parenting,136
vacation,136
restaurant,137
dog,137
decoration,138
shows,138
economy,138
wildlife,141
sea,141
disease,141
school,141
philosophy,141
abroad,142
dog,142
transportation,142
trip,142
school,142
bug,142
restaurant,143
wildlife,143
flowers,143
cat,143
Covid-19,144
house,144
education,146
universe,146
flowers,147
abroad,147
vacation,147
philosophy,147
sports,148
cat,148
Covid-19,148
fire,150
decoration,150
garden,150
abroad,150
bug,150
Covid-19,150
movies,152
sports,152
disease,152
animal,152
netflix,152
education,152
cat,153
bug,153
wildlife,153
sports,153
sale,153
university,154
restaurant,154
wildlife,155
bug,155
school,155
netflix,156
trip,156
recipe,156
fire,157
instructions,157
trip,158
movies,158
Covid-19,161
DIY,162
bug,162
health,162
economy,162
food,162
universe,163
DIY,163
animal,163
disease,163
fire,164
fire,165
decoration,165
cat,166
trip,166
transportation,167
vacation,168
school,168
parenting,168
pet,169
sports,169
restaurant,169
school,169
decoration,169
instructions,169
philosophy,170
movies,170
Covid-19,171
love,171
university,171
health,172
disease,172
movies,172
flowers,172
vacation,172
decoration,172
health,174
sale,175
philosophy,175
health,175
programming,175
house,175
vacation,175
cat,177
animal,177
netflix,178
nature,178
flowers,178
movies,178
school,178
transportation,178
bug,179
house,179
love,179
recipe,180
shows,180
instructions,180
food,180
flowers,180
fire,181
trip,181
love,182
Covid-19,182
netflix,182
children,182
house,183
university,183
universe,183
recipe,183
weather,185
shows,185
DIY,186
food,186
netflix,187
university,187
house,187
restaurant,187
parenting,189
nature,189
school,189
education,189
trip,189
philosophy,189
education,191
children,191
decoration,192
university,192
weather,192
instructions,192
restaurant,193
children,194
bug,194
DIY,194
transportation,194
cat,194
Covid-19,194
animal,195
universe,195
animal,196
wildlife,197
netflix,197
bug,197
university,197
health,197
movies,197
flowers,198
vacation,198
cat,198
school,199
dog,200
philosophy,200
sale,200
abroad,200
health,200
trip,201
Covid-19,201
decoration,202
parenting,202
philosophy,202
wildlife,202
trip,202
DIY,202
programming,203
education,203
love,203
school,203
philosophy,203
abroad,204
dog,204
flowers,204
philosophy,204
sports,204
disease,204
wildlife,205
abroad,205
education,205
pet,206
food,206
university,207
DIY,207
vacation,207
recipe,207
instructions,209
DIY,209
university,209
health,209
programming,209
movies,209
children,210
wildlife,210
parenting,210
fire,210
food,210
DIY,210
bug,211
vacation,211
transportation,211
animal,211
economy,211
restaurant,212
Covid-19,212
DIY,212
animal,212
abroad,212
weather,212
parenting,213
recipe,213
house,213
sea,215
trip,215
house,215
abroad,215
dog,215
vacation,215
Covid-19,217
